127.0.0.1 - - [25/Sep/2017:08:44:44 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:49 -0700] "GET /MoivePredictions/ HTTP/1.1" 200 69122
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:49 -0700] "GET /MoivePredictions/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:49 -0700] "GET /MoivePredictions/assets/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:49 -0700] "GET /MoivePredictions/assets/css/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:49 -0700] "GET /MoivePredictions/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:49 -0700] "GET /MoivePredictions/assets/css/popuo-box.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:49 -0700] "GET /MoivePredictions/assets/js/modernizr.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:49 -0700] "GET /MoivePredictions/js/responsiveslides.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:49 -0700] "GET /MoivePredictions/assets/images/lines.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:49 -0700] "GET /MoivePredictions/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:49 -0700] "GET /MoivePredictions/assets/js/jquery.magnific-popup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:49 -0700] "GET /MoivePredictions/assets/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:49 -0700] "GET /MoivePredictions/assets/images/9.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:50 -0700] "GET /MoivePredictions/assets/images/t1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:50 -0700] "GET /MoivePredictions/assets/images/t2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:50 -0700] "GET /MoivePredictions/assets/images/t3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:50 -0700] "GET /MoivePredictions/assets/images/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:50 -0700] "GET /MoivePredictions/assets/images/c.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:50 -0700] "GET /MoivePredictions/js/responsiveslides.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:50 -0700] "GET /MoivePredictions/assets/images/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:50 -0700] "GET /MoivePredictions/assets/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:50 -0700] "GET /MoivePredictions/assets/images/c3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:50 -0700] "GET /MoivePredictions/assets/images/r1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:50 -0700] "GET /MoivePredictions/assets/images/r2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:50 -0700] "GET /MoivePredictions/assets/images/r3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:50 -0700] "GET /MoivePredictions/assets/images/r4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:51 -0700] "GET /MoivePredictions/assets/images/r5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:51 -0700] "GET /MoivePredictions/assets/images/r6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:51 -0700] "GET /MoivePredictions/assets/images/g.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:51 -0700] "GET /MoivePredictions/assets/images/g1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:51 -0700] "GET /MoivePredictions/assets/images/g2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:51 -0700] "GET /MoivePredictions/assets/images/g3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:51 -0700] "GET /MoivePredictions/assets/images/we2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:51 -0700] "GET /MoivePredictions/assets/images/we1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:51 -0700] "GET /MoivePredictions/assets/images/we4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:52 -0700] "GET /MoivePredictions/assets/images/we3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:52 -0700] "GET /MoivePredictions/assets/images/u12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:52 -0700] "GET /MoivePredictions/assets/images/social.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:52 -0700] "GET /MoivePredictions/assets/images/select-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:52 -0700] "GET /MoivePredictions/assets/images/12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:52 -0700] "GET /MoivePredictions/assets/images/13.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:44:53 -0700] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:45:02 -0700] "GET /MoivePredictions/assets/images/fb1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:45:02 -0700] "GET /MoivePredictions/assets/images/ch1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:45:12 -0700] "POST /MoivePredictions/userLoginCredintails HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:46:23 -0700] "GET /MoivePredictions/ HTTP/1.1" 200 69122
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:46:23 -0700] "GET /MoivePredictions/js/responsiveslides.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:46:23 -0700] "GET /MoivePredictions/js/responsiveslides.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:47:45 -0700] "GET /MoivePredictions/loginofUser?name=pawan&email=pawanatm05%40gmail.com&mobNo=abc HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [25/Sep/2017:08:49:04 -0700] "POST /MoivePredictions/userLoginCredintails HTTP/1.1" 200 457
